,Search_Term,CleanedDrugName
0,acute coronary syndrome,ABCIXIMAB|CLOPIDOGREL|PRASUGREL|RIVAROXABAN|TICAGRELOR
1,acute lymphoblastic leukaemia,BLINATUMOMAB|DASATINIB|INOTUZUMAB|PEGASPARGASE|PONATINIB|TISAGENLECLEUCEL
2,acute myeloid leukaemia,AZACITIDINE|DECITABINE|GEMTUZUMAB|GILTERITINIB|GLASDEGIB|LIPOSOMAL|MIDOSTAURIN|ORAL|VENETOCLAX
3,acute promyelocytic leukaemia,ARSENIC|GEMTUZUMAB
4,allergic asthma,OMALIZUMAB
5,allergic rhinitis,SQ
6,alzheimer's disease,DONEPEZIL
7,amyloidosis,VUTRISIRAN
8,anaemia,ERYTHROPOIESIS-STIMULATING|ERYTHROPOIETIN
9,anaplastic large cell lymphoma,BRENTUXIMAB
10,ankylosing spondylitis,ADALIMUMAB|GOLIMUMAB|SECUKINUMAB|UPADACITINIB
11,apixaban,ANDEXANET
12,aplastic anaemia,ELTROMBOPAG
13,arthritis,ETANERCEPT
14,asthma,BENRALIZUMAB|DUPILUMAB|INHALED|MEPOLIZUMAB|OMALIZUMAB|RESLIZUMAB
15,atopic dermatitis,ABROCITINIB|ALCLOMETASONE|BARICITINIB|CRISABOROLE|DUPILUMAB|PIMECROLIMUS
16,atrial fibrillation,APIXABAN|DABIGATRAN|DRONEDARONE|EDOXABAN|RIVAROXABAN|VERNAKALANT
17,attention deficit hyperactivity disorder,ATOMOXETINE
18,attention-deficit hyperactivity disorder,METHYLPHENIDATE
19,axial spondyloarthritis,ADALIMUMAB|GOLIMUMAB|IXEKIZUMAB|SECUKINUMAB|UPADACITINIB
20,basal cell carcinoma,VISMODEGIB
21,bipolar disorder,LOXAPINE|OLANZAPINE
22,bladder,MIRABEGRON
23,brca,OLAPARIB
