Search_Term,PrimaryDirectorate,AllDirectorates
acute coronary syndrome,CARDIOLOGY,CARDIOLOGY
acute coronary syndromes,CARDIOLOGY,CARDIOLOGY
acute lymphoblastic leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|PAEDIATRICS
acute myeloid leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
acute promyelocytic leukaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
advanced breast cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|BREAST SURGERY|CLINICAL ONCOLOGY
allergic asthma,THORACIC MEDICINE,THORACIC MEDICINE|CLINICAL IMMUNOLOGY
allergic rhinitis,ENT,ENT|CLINICAL IMMUNOLOGY
alzheimer's disease,NEUROLOGY,NEUROLOGY|GERIATRIC MEDICINE|MENTAL HEALTH
amyloidosis,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|CARDIOLOGY|NEPHROLOGY
anaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|GENERAL MEDICINE
anaplastic large cell lymphoma,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|MEDICAL ONCOLOGY
angioedema,CLINICAL IMMUNOLOGY,CLINICAL IMMUNOLOGY|ACCIDENT & EMERGENCY
ankylosing spondylitis,RHEUMATOLOGY,RHEUMATOLOGY
apixaban,CARDIOLOGY,CARDIOLOGY|CLINICAL HAEMATOLOGY
aplastic anaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY
arthritis,RHEUMATOLOGY,RHEUMATOLOGY
asthma,THORACIC MEDICINE,THORACIC MEDICINE|PAEDIATRICS
atopic dermatitis,DERMATOLOGY,DERMATOLOGY|PAEDIATRICS|CLINICAL IMMUNOLOGY
atrial fibrillation,CARDIOLOGY,CARDIOLOGY
attention deficit hyperactivity disorder,MENTAL HEALTH,MENTAL HEALTH|PAEDIATRICS
attention-deficit hyperactivity disorder,MENTAL HEALTH,MENTAL HEALTH|PAEDIATRICS
axial spondyloarthritis,RHEUMATOLOGY,RHEUMATOLOGY
basal cell carcinoma,DERMATOLOGY,DERMATOLOGY|PLASTIC SURGERY|MEDICAL ONCOLOGY
beta-thalassaemia,CLINICAL HAEMATOLOGY,CLINICAL HAEMATOLOGY|PAEDIATRICS
biliary cholangitis,GASTROENTEROLOGY,GASTROENTEROLOGY
bipolar disorder,MENTAL HEALTH,MENTAL HEALTH
bladder,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|UROLOGY|CLINICAL ONCOLOGY
braf,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|CLINICAL ONCOLOGY
brca,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|GYNAECOLOGICAL ONCOLOGY|BREAST SURGERY
breast cancer,MEDICAL ONCOLOGY,MEDICAL ONCOLOGY|BREAST SURGERY|CLINICAL ONCOLOGY
cardiomyopathy,CARDIOLOGY,CARDIOLOGY
cardiovascular disease,CARDIOLOGY,CARDIOLOGY|VASCULAR SURGERY
