Search_Term,CleanedDrugName,PrimaryDirectorate
acute coronary syndrome,ABCIXIMAB|CLOPIDOGREL|PRASUGREL|RIVAROXABAN|TICAGRELOR,CARDIOLOGY
acute lymphoblastic leukaemia,BLINATUMOMAB|DASATINIB|INOTUZUMAB|PEGASPARGASE|PONATINIB|TISAGENLECLEUCEL,CLINICAL HAEMATOLOGY
acute myeloid leukaemia,AZACITIDINE|DECITABINE|GEMTUZUMAB|GILTERITINIB|GLASDEGIB|LIPOSOMAL|MIDOSTAURIN|ORAL|VENETOCLAX,CLINICAL HAEMATOLOGY
acute promyelocytic leukaemia,ARSENIC|GEMTUZUMAB,CLINICAL HAEMATOLOGY
allergic asthma,OMALIZUMAB,THORACIC MEDICINE
allergic rhinitis,SQ,ENT
alzheimer's disease,DONEPEZIL,NEUROLOGY
amyloidosis,VUTRISIRAN,CLINICAL HAEMATOLOGY
anaemia,ERYTHROPOIESIS-STIMULATING|ERYTHROPOIETIN,CLINICAL HAEMATOLOGY
anaplastic large cell lymphoma,BRENTUXIMAB,CLINICAL HAEMATOLOGY
ankylosing spondylitis,ADALIMUMAB|GOLIMUMAB|SECUKINUMAB|UPADACITINIB,RHEUMATOLOGY
apixaban,ANDEXANET,CARDIOLOGY
aplastic anaemia,ELTROMBOPAG,CLINICAL HAEMATOLOGY
arthritis,ETANERCEPT,RHEUMATOLOGY
asthma,BENRALIZUMAB|DUPILUMAB|INHALED|MEPOLIZUMAB|OMALIZUMAB|RESLIZUMAB,THORACIC MEDICINE
atopic dermatitis,ABROCITINIB|ALCLOMETASONE|BARICITINIB|CRISABOROLE|DUPILUMAB|PIMECROLIMUS,DERMATOLOGY
atrial fibrillation,APIXABAN|DABIGATRAN|DRONEDARONE|EDOXABAN|RIVAROXABAN|VERNAKALANT,CARDIOLOGY
attention deficit hyperactivity disorder,ATOMOXETINE,MENTAL HEALTH
attention-deficit hyperactivity disorder,METHYLPHENIDATE,MENTAL HEALTH
axial spondyloarthritis,ADALIMUMAB|GOLIMUMAB|IXEKIZUMAB|SECUKINUMAB|UPADACITINIB,RHEUMATOLOGY
basal cell carcinoma,VISMODEGIB,DERMATOLOGY
bipolar disorder,LOXAPINE|OLANZAPINE,MENTAL HEALTH
bladder,MIRABEGRON,MEDICAL ONCOLOGY
brca,OLAPARIB,MEDICAL ONCOLOGY
breast cancer,ABEMACICLIB|ALPELISIB|ANASTROZOLE|ATEZOLIZUMAB|BEVACIZUMAB|CAPECITABINE|DENOSUMAB|DOCETAXEL|ERIBULIN|EVEROLIMUS|FULVESTRANT|GEMCITABINE|INTRABEAM|LAPATINIB|NERATINIB|OLAPARIB|PACLITAXEL|PALBOCICLI|PALBOCICLIB|PEMBROLIZUMAB|PERTUZUMAB|RIBOCICLIB|SACITUZUMAB|TRASTUZUMAB|TUCATINIB|VINORELBINE,MEDICAL ONCOLOGY
cardiomyopathy,TAFAMIDIS,CARDIOLOGY
cardiovascular disease,ATORVASTATIN,CARDIOLOGY
cervical cancer,TOPOTECAN,MEDICAL ONCOLOGY
cholangiocarcinoma,PEMIGATINIB,MEDICAL ONCOLOGY
choroidal neovascularisation,AFLIBERCEPT|RANIBIZUMAB,OPHTHALMOLOGY
chronic kidney disease,DAPAGLIFLOZIN|IMLIFIDASE|ROXADUSTAT,NEPHROLOGY
chronic liver disease,AVATROMBOPAG|LUSUTROMBOPAG,GASTROENTEROLOGY
