Rec no.,TA ID,Year of Publication,STA/MTA process,Technology,Technology type,Indication,Categorisation (for specific recommendation),Comment
1,TA001,1999/00,MTA,Prophylactic removal,Surgical procedure,Wisdom teeth,Recommended,Recommendation in line with clinical practice. Moved to static list (review in 2011).
2,TA002,2000/01,MTA,Hip prostheses,Medical device,Hip disease,Recommended,Recommendation in line with clinical practice. Moved to static list.
3,TA003,2000/01,MTA,Paclitaxel,Pharmaceutical,Ovarian cancer,Recommended,Guidance has been replaced by TA55. Recommendation in line with marketing authorisation.
4,TA004,2000/01,MTA,Coronary artery stents ,Medical device,Ischaemic heart disease,Recommended,Guidance has been replaced by TA71. Recommendation in line with clinical practice.
5,TA005,2000/01,MTA,Liquid Based Cytology (LBC),Other therapeutic therapies,Cervical cancer,Only in Research,"Guidance has been replaced by TA69. At the time of appraisal the Committee advised that there was insufficient evidence to justify the nationwide introduction of LBC technology. However they recommended that large-scale pilot implementation studies should be carried out to evaluate the effectiveness, costs and practical implications of the introduction of LBC technology into the cervical screening programme.  "
6,TA006,2000/01,MTA,Docetaxel,Pharmaceutical,Advanced breast cancer,Recommended,Guidance has been replaced by TA30. Recommendation in line with marketing authorisation.
7,TA006,2000/01,MTA,Paclitaxel,Pharmaceutical,Advanced breast cancer,Recommended,Guidance has been replaced by TA30. Recommendation in line with marketing authorisation.
8,TA007,2000/01,MTA,Lansoprazole,Pharmaceutical,Dyspepsia ,Recommended,Guidance has been incorporated in CG17. Recommendation in line with marketing authorisation.
9,TA007,2000/01,MTA,Omeprazole,Pharmaceutical,Dyspepsia ,Recommended,Guidance has been incorporated in CG17. Recommendation in line with marketing authorisation.
10,TA007,2000/01,MTA,Pantoprazole,Pharmaceutical,Dyspepsia ,Recommended,Guidance has been incorporated in CG17. Recommendation in line with marketing authorisation.
11,TA007,2000/01,MTA,Rabeprazole,Pharmaceutical,Dyspepsia ,Recommended,Guidance has been incorporated in CG17. Recommendation in line with marketing authorisation.
12,TA008,2000/01,MTA,Analogue hearing aids,Medical device,Deafness,Recommended,The Department of Health made digital hearing aid technology available across the NHS after TA008 was published which made guidance obsolete. Guidance withdrawn from May 2003.
13,TA008,2000/01,MTA,Digital hearing aids,Medical device,Deafness,Not Recommended,The Department of Health made digital hearing aid technology available across the NHS after TA008 was published which made guidance obsolete. Guidance withdrawn from May 2003.
14,TA009,2000/01,MTA,Rosiglitazone ,Pharmaceutical,Type 2 diabetes,Recommended,Guidance has been replaced by TA63 and incorporated in CG66. Recommendation in line with marketing authorisation.
15,TA010,2000/01,MTA,Dry powder inhalers (DPI),Medical device,Asthma (children under 5 years),Recommended,Recommendation in line with marketing authorisation.
