Drug,Indication,Cluster_ID,Cluster_Description,NICE_TA_Reference
ABATACEPT,Rheumatoid arthritis,RARTH_COD,Rheumatoid arthritis diagnosis codes,TA195/TA280/TA375
ABATACEPT,Rheumatoid arthritis,C19RARTH_COD,Rheumatoid arthritis disorders (broader),TA195/TA280/TA375
ABATACEPT,Psoriatic arthritis,PSORIASIS_COD,Psoriasis codes (for psoriatic arthritis),TA568
ACALABRUTINIB,Chronic lymphocytic leukaemia,CLL_COD,Chronic lymphocytic leukaemia,TA689
ADALIMUMAB,Rheumatoid arthritis,RARTH_COD,Rheumatoid arthritis diagnosis codes,TA130/TA195/TA375
ADALIMUMAB,Rheumatoid arthritis,C19RARTH_COD,Rheumatoid arthritis disorders (broader),TA130/TA195/TA375
ADALIMUMAB,Psoriasis,PSORIASIS_COD,Psoriasis codes,TA146/TA455
ADALIMUMAB,Psoriasis,CUST_CMMS_PSORIASIS,Psoriasis (Cambridge Multimorbidity),TA146/TA455
ADALIMUMAB,Psoriatic arthritis,PSORIASIS_COD,Psoriasis codes (for psoriatic arthritis),TA125/TA199
ADALIMUMAB,Crohn's disease,CROHNS_COD,Crohn's disease codes,TA187
ADALIMUMAB,Ulcerative colitis,ULCCOLITIS_COD,Ulcerative colitis codes,TA329
ADALIMUMAB,Ankylosing spondylitis,ANKSPON_COD,Ankylosing spondylitis codes,TA143/TA383
AFLIBERCEPT,Diabetic macular oedema,DM_COD,Diabetes mellitus codes,TA346
AFLIBERCEPT,Diabetic macular oedema,DMTYPE2AUDIT_COD,Type 2 diabetes codes,TA346
ALIROCUMAB,Hypercholesterolaemia,HYPERCHOL_COD,Hypercholesterolaemia codes,TA393
APREMILAST,Psoriasis,PSORIASIS_COD,Psoriasis codes,TA419
APREMILAST,Psoriasis,CUST_CMMS_PSORIASIS,Psoriasis (Cambridge Multimorbidity),TA419
APREMILAST,Psoriatic arthritis,PSORIASIS_COD,Psoriasis codes (for psoriatic arthritis),TA433
ATEZOLIZUMAB,Cancer (various),CANCER_COD,Cancer codes (various),TA492/TA520/TA525
BARICITINIB,Rheumatoid arthritis,RARTH_COD,Rheumatoid arthritis diagnosis codes,TA466
BARICITINIB,Rheumatoid arthritis,C19RARTH_COD,Rheumatoid arthritis disorders (broader),TA466
BARICITINIB,Atopic dermatitis,ECZEMA_COD,Atopic dermatitis/eczema codes,TA681
BEVACIZUMAB,Cancer (various),CANCER_COD,Cancer codes (various),TA584/TA666
BIMEKIZUMAB,Psoriasis,PSORIASIS_COD,Psoriasis codes,TA723
BIMEKIZUMAB,Psoriasis,CUST_CMMS_PSORIASIS,Psoriasis (Cambridge Multimorbidity),TA723
BOTULINUM A TOXIN,Spasticity (various),SPASTICITY_COD,Spasticity and movement disorder codes,No specific TA
BRODALUMAB,Psoriasis,PSORIASIS_COD,Psoriasis codes,TA511
BRODALUMAB,Psoriasis,CUST_CMMS_PSORIASIS,Psoriasis (Cambridge Multimorbidity),TA511
CERTOLIZUMAB PEGOL,Rheumatoid arthritis,RARTH_COD,Rheumatoid arthritis diagnosis codes,TA375/TA415
CERTOLIZUMAB PEGOL,Rheumatoid arthritis,C19RARTH_COD,Rheumatoid arthritis disorders (broader),TA375/TA415
CERTOLIZUMAB PEGOL,Psoriasis,PSORIASIS_COD,Psoriasis codes,TA574
CERTOLIZUMAB PEGOL,Psoriatic arthritis,PSORIASIS_COD,Psoriasis codes (for psoriatic arthritis),TA445
CERTOLIZUMAB PEGOL,Ankylosing spondylitis,ANKSPON_COD,Ankylosing spondylitis codes,TA383
DENOSUMAB,Osteoporosis,OSTEO_COD,Osteoporosis codes,TA204
DENOSUMAB,Bone metastases,CANCER_COD,Cancer codes (bone metastases),TA265
DEXAMETHASONE,Diabetic macular oedema,DM_COD,Diabetes mellitus codes,TA349/TA824
DEXAMETHASONE,Diabetic macular oedema,DMTYPE2AUDIT_COD,Type 2 diabetes codes,TA349/TA824
DEXAMETHASONE,Multiple myeloma,MM_COD,Multiple myeloma codes,TA311/TA380
DEXAMETHASONE,Uveitis,UVEITIS_COD,Uveitis codes,TA460
DIMETHYL FUMARATE,Multiple sclerosis,MS_COD,Multiple sclerosis codes,TA320
DIMETHYL FUMARATE,Psoriasis,PSORIASIS_COD,Psoriasis codes,TA475
DOCETAXEL,Cancer (various),CANCER_COD,Cancer codes (breast/lung/prostate),TA006/TA030/TA101
DUPILUMAB,Atopic dermatitis,ECZEMA_COD,Atopic dermatitis/eczema codes,TA534
DUPILUMAB,Asthma,ASTHMA_COD,Asthma codes,TA751
ERENUMAB,Migraine,MIGRAINE_COD,Migraine codes,TA682
ETANERCEPT,Rheumatoid arthritis,RARTH_COD,Rheumatoid arthritis diagnosis codes,TA036/TA130/TA195
ETANERCEPT,Rheumatoid arthritis,C19RARTH_COD,Rheumatoid arthritis disorders (broader),TA036/TA130/TA195
ETANERCEPT,Psoriasis,PSORIASIS_COD,Psoriasis codes,TA103
ETANERCEPT,Psoriasis,CUST_CMMS_PSORIASIS,Psoriasis (Cambridge Multimorbidity),TA103
ETANERCEPT,Psoriatic arthritis,PSORIASIS_COD,Psoriasis codes (for psoriatic arthritis),TA104/TA199
ETANERCEPT,Ankylosing spondylitis,ANKSPON_COD,Ankylosing spondylitis codes,TA143/TA383
EVOLOCUMAB,Hypercholesterolaemia,HYPERCHOL_COD,Hypercholesterolaemia codes,TA394
FARICIMAB,Diabetic macular oedema,DM_COD,Diabetes mellitus codes,TA799
FARICIMAB,Diabetic macular oedema,DMTYPE2AUDIT_COD,Type 2 diabetes codes,TA799
FILGOTINIB,Rheumatoid arthritis,RARTH_COD,Rheumatoid arthritis diagnosis codes,TA676
FILGOTINIB,Rheumatoid arthritis,C19RARTH_COD,Rheumatoid arthritis disorders (broader),TA676
FILGOTINIB,Ulcerative colitis,ULCCOLITIS_COD,Ulcerative colitis codes,TA792
