Name,Code
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,R0A
SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,R0B
UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,R0D
HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,R1A
SOLENT NHS TRUST,R1C
SHROPSHIRE COMMUNITY HEALTH NHS TRUST,R1D
ISLE OF WIGHT NHS TRUST,R1F
BARTS HEALTH NHS TRUST,R1H
LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,R1K
ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,R1L
ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,RA2
YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,RA4
UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,RA7
TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,RA9
BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,RAE
MID AND SOUTH ESSEX NHS FOUNDATION TRUST,RAJ
ROYAL FREE LONDON NHS FOUNDATION TRUST,RAL
ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,RAN
NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,RAP
THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,RAS
NORTH EAST LONDON NHS FOUNDATION TRUST,RAT
KINGSTON HOSPITAL NHS FOUNDATION TRUST,RAX
DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,RBD
WALSALL HEALTHCARE NHS TRUST,RBK
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,RBL
ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,RBN
LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,RBQ
ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,RBS
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,RBT
THE CHRISTIE NHS FOUNDATION TRUST,RBV
NORTHERN DEVON HEALTHCARE NHS TRUST,RBZ
BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,RC9
YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,RCB
HARROGATE AND DISTRICT NHS FOUNDATION TRUST,RCD
AIREDALE NHS FOUNDATION TRUST,RCF
SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,RCU
THE QUEEN ELIZABETH HOSPITAL,RCX
ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,RD1
MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,RD8
EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,RDE
SUSSEX COMMUNITY NHS FOUNDATION TRUST,RDR
FRIMLEY HEALTH NHS FOUNDATION TRUST,RDU
DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,RDY
ROYAL CORNWALL HOSPITALS NHS TRUST,REF
LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,REM
THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,REN
LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,REP
THE WALTON CENTRE NHS FOUNDATION TRUST,RET
BARKING,RF4
BARNSLEY HOSPITAL NHS FOUNDATION TRUST,RFF
THE ROTHERHAM NHS FOUNDATION TRUST,RFR
